Time,forward,right,left_speed,right_speed
1099550888,196,161,1.6400352,-0.54667836
1099556496,196,161,1.641205,-1.0941367
1099562108,196,161,1.6400352,-0.54667836
1099567716,196,161,1.641205,-1.0941367
1099573328,196,161,1.6400352,-0.54667836
1099578936,196,161,1.641205,-1.0941367
1099584548,196,161,1.6400352,-0.54667836
1099590156,196,161,1.641205,-0.54706836
1099595768,196,161,1.6400352,-1.0933567
1099601376,196,161,1.641205,-0.54706836
1099606988,196,161,1.6400352,-1.0933567
1099612596,196,161,1.641205,-0.54706836
1099618208,196,161,1.6400352,-0.54667836
1099623816,196,161,1.641205,-1.0941367
1099629428,196,161,1.6400352,-0.54667836
1099635036,196,161,1.641205,-1.0941367
1099640648,196,161,1.6400352,-0.54667836
1099646256,196,161,1.641205,-0.54706836
1099651868,196,161,1.6400352,-1.0933567
1099657476,196,161,1.641205,-0.54706836
1099663088,196,161,1.6400352,-0.54667836
1099668696,196,161,2.1882734,-0.54706836
1099674308,196,161,1.6400352,-1.0933567
1099679916,196,161,1.641205,-0.54706836
1099685528,196,161,1.6400352,-0.54667836
1099691136,196,161,2.1882734,-1.0941367
1099696748,196,161,1.6400352,0
1099702356,196,161,1.641205,-1.0941367
1099707968,196,161,2.1867135,-1.0933567
1099713576,196,161,1.641205,-0.54706836
1099719188,196,161,1.6400352,-1.0933567
1099724796,196,161,2.1882734,-0.54706836
1099730408,196,161,1.6400352,-0.54667836
1099736016,196,161,2.1882734,-1.0941367
1099741628,196,161,1.6400352,-1.0933567
1099747236,196,161,1.641205,-0.54706836
1099752848,196,161,2.1867135,-1.0933567
1099758456,196,161,1.641205,-1.0941367
1099764068,196,161,1.6400352,-1.0933567
1099769676,196,161,2.1882734,-0.54706836
1099775288,196,161,2.1867135,-1.6400352
1099780896,196,161,1.641205,-1.641205
1099786508,196,161,2.1867135,-0.54667836
1099792116,196,161,1.641205,-1.0941367
1099797728,196,161,1.6400352,-1.0933567
1099803336,196,161,1.641205,-0.54706836
1099808948,196,161,1.6400352,-1.0933567
1099814556,196,161,1.641205,-1.0941367
1099820168,196,161,1.6400352,-0.54667836
1099825776,196,161,1.641205,-1.0941367
1099831388,196,161,1.6400352,-0.54667836
1099836996,196,161,1.641205,-1.0941367
1099842608,196,161,2.1867135,-1.0933567
1099848216,196,161,2.7353415,-1.0941367
1099853832,196,161,3.277734,-1.092578
1099859436,196,161,1.6423764,-0.54745877
1099865048,196,161,2.1867135,-0.54667836
1099870656,196,161,1.641205,-1.0941367
1099876268,196,161,1.0933567,-0.54667836
1099881876,196,161,2.1882734,-1.0941367
1099887488,196,161,1.6400352,-0.54667836
1099893096,196,161,1.641205,-1.0941367
1099898708,196,161,1.0933567,-0.54667836
1099904316,196,161,1.641205,-0.54706836
1099909928,196,161,2.1867135,-1.0933567
1099915536,196,161,1.0941367,-0.54706836
1099921148,196,161,2.1867135,-1.0933567
1099926756,196,161,1.641205,-0.54706836
1099932368,196,161,1.6400352,-1.0933567
1099937976,196,161,1.641205,-0.54706836
1099943588,196,161,1.6400352,-1.0933567
1099949196,196,161,1.641205,-0.54706836
1099954808,196,161,1.6400352,-0.54667836
1099960416,196,161,1.641205,-1.0941367
1099966028,196,161,1.6400352,-0.54667836
1099971636,196,161,1.641205,-1.0941367
1099977248,196,161,1.6400352,-0.54667836
1099982864,196,161,1.092578,-0.546289
1099988468,196,161,1.6423764,-1.0949175
1099994076,196,161,1.641205,-0.54706836
1099999688,196,161,1.6400352,-0.54667836
1100005296,196,161,1.641205,-0.54706836
1100010908,196,161,1.0933567,-0.54667836
1100016516,196,161,1.641205,-1.0941367
1100022128,196,161,1.6400352,-0.54667836
1100027736,196,161,1.641205,-1.0941367
1100033348,196,161,1.0933567,-0.54667836
1100038956,196,161,1.641205,-1.0941367
1100044568,196,161,2.1867135,-0.54667836
1100050176,196,161,1.641205,-1.0941367
1100055788,196,161,1.6400352,-0.54667836
1100061396,196,161,1.641205,-1.0941367
1100067008,196,161,1.6400352,-1.0933567
1100072628,196,161,1.6377007,-1.0918005
1100078228,196,161,2.1913993,-0.54784983
1100083836,196,161,1.641205,-1.0941367
1100089448,196,161,1.6400352,-0.54667836
1100095056,196,161,1.641205,-1.0941367
1100100668,196,161,1.6400352,-0.54667836
1100106276,196,161,1.0941367,-1.0941367
1100111892,196,161,2.185156,-0.546289
1100117496,196,161,1.0949175,-1.0949175
1100123108,196,161,2.1867135,-1.0933567
1100128716,196,161,1.0941367,-0.54706836
1100134328,196,161,1.6400352,-1.0933567
1100139936,196,161,1.641205,-1.0941367
1100145548,196,161,1.6400352,-0.54667836
1100151156,196,161,1.0941367,-1.0941367
1100156768,196,161,2.733392,-0.54667836
1100162376,196,161,2.1882734,-1.0941367
1100167988,196,161,1.6400352,-1.0933567
1100173596,196,161,1.641205,-0.54706836
1100179208,196,161,1.6400352,-1.0933567
1100184816,196,161,2.1882734,-0.54706836
1100190428,196,161,1.6400352,-1.0933567
1100196036,196,161,2.1882734,-0.54706836
1100201648,196,161,1.6400352,-0.54667836
1100207256,196,161,1.0941367,-1.0941367
1100212868,196,161,1.6400352,-0.54667836
1100218476,196,161,1.641205,-1.0941367
1100224088,196,161,2.1867135,-0.54667836
1100229696,196,161,1.641205,-1.0941367
1100235308,196,161,1.6400352,-0.54667836
1100240916,196,161,1.641205,-0.54706836
1100246528,196,161,2.1867135,-1.0933567
1100252136,196,161,1.641205,-0.54706836
1100257748,196,161,1.6400352,-1.0933567
1100263356,196,161,1.641205,-0.54706836
1100268968,196,161,2.1867135,-1.0933567
1100274576,196,161,1.641205,-0.54706836
1100280188,196,161,1.6400352,-1.0933567
1100285796,196,161,1.641205,-0.54706836
1100291408,196,161,1.6400352,-0.54667836
1100297016,196,161,2.1882734,-1.0941367
1100302628,196,161,1.6400352,-0.54667836
1100308236,196,161,1.641205,-0.54706836
1100313848,196,161,1.6400352,-0.54667836
